,Nominee,Nominations,First,Last,Last - First,born,No,imdbID,ambiguous?,bday,bplace
6,Aline MacMahon,1,1944,1944,0,1899,,533956,,1899-5-3,"McKeesport, Pennsylvania, USA"
117,Eva Le Gallienne,1,1980,1980,0,1899,,499170,,1899-1-11,"London, England, UK"
126,Gale Sondergaard,2,1936,1946,10,1899,,814216,,1899-2-15,"Litchfield, Minnesota, USA"
140,Gloria Swanson,3,1927,1950,23,1899,,841797,,1899-3-27,"Chicago, Illinois, USA"
160,Ida Kaminska,1,1966,1966,0,1899,,436706,,1899-9-4,"Odessa, Kherson Governorate, Russian Empire [now Ukraine]"
2,Agnes Moorehead,4,1942,1964,22,1900,,1547,,1900-12-6,"Clinton, Massachusetts, USA"
135,Gladys George,1,1936,1936,0,1900,,313438,,1900-9-13,"Patten, Maine, USA"
151,Helen Hayes,2,1931,1970,39,1900,,371040,,1900-10-10,"Washington, District of Columbia, USA"
174,Jean Arthur,1,1943,1943,0,1900,,795,,1900-10-17,"Plattsburgh, New York, USA"
224,Katina Paxinou,1,1943,1943,0,1900,,668093,,1900-12-17,"Piraeus, Athens, Greece"
16,Ann Harding,1,1930,1930,0,1901,,362267,,1902-8-7,"Fort Sam Houston, Texas, USA"
282,Marlene Dietrich,1,1930,1930,0,1901,,17,,1901-12-27,"Schöneberg, Berlin, Germany"
306,Mildred Dunnock,2,1951,1956,5,1901,,242972,,1901-1-25,"Baltimore, Maryland, USA"
111,Elsa Lanchester,2,1949,1957,8,1902,,6471,,1902-10-28,"Lewisham, London, England, UK"
124,Flora Robson,1,1946,1946,0,1902,,733460,,1902-3-28,"South Shields, Durham, England, UK"
312,Miriam Hopkins,1,1935,1935,0,1902,,394244,,1902-10-18,"Savannah, Georgia, USA"
323,Norma Shearer,6,1929,1938,9,1902,,790454,,1902-8-10,"Montréal, Québec, Canada"
395,Thelma Ritter,6,1950,1962,12,1902,,728812,,1902-2-14,"Brooklyn, New York, USA"
25,Anne Revere,3,1943,1947,4,1903,,720843,,1903-6-25,"New York City, New York, USA"
75,Claudette Colbert,3,1934,1944,10,1903,,1055,,1903-9-13,"Saint-Mandé, Seine [now Val-de-Marne], France"
314,Nancy Carroll,1,1929,1929,0,1903,,681933,,1892-4-8,"Toronto, Ontario, Canada"
399,Una Merkel,1,1961,1961,0,1903,,580916,,1903-12-10,"Covington, Kentucky, USA"
146,Greer Garson,7,1939,1960,21,1904,,2093,,1904-9-29,"London, England, UK"
147,Greta Garbo,3,1929,1939,10,1905,,1256,,1905-9-18,"Stockholm, Stockholms län, Sweden"
307,Mildred Natwick,1,1967,1967,0,1905,,622450,,1905-6-19,"Baltimore, Maryland, USA"
87,Diana Wynyard,1,1932,1932,0,1906,,944087,,1906-1-16,"London, England, UK"
155,Hermione Baddeley,1,1959,1959,0,1906,,45968,,1906-11-13,"Broseley, Shropshire, England, UK"
170,Janet Gaynor,2,1927,1937,10,1906,,310980,,1906-10-6,"Philadelphia, Pennsylvania, USA"
189,Joan Blondell,1,1951,1951,0,1906,,951,,1906-8-30,"New York City, New York, USA"
190,Joan Crawford,3,1945,1952,7,1906,,1076,,1906-3-23,"San Antonio, Texas, USA"
286,Mary Astor,1,1941,1941,0,1906,,802,,1906-5-3,"Quincy, Illinois, USA"
36,Barbara Stanwyck,4,1937,1948,11,1907,,1766,,1907-7-16,"Brooklyn, New York City, New York, USA"
219,Katharine Hepburn,12,1932,1981,49,1907,,31,,1907-5-12,"Hartford, Connecticut, USA"
334,Peggy Ashcroft,1,1984,1984,0,1907,,1919,,1907-12-22,"Croydon, Surrey, England, UK"
351,Rosalind Russell,4,1942,1958,16,1907,,751426,,1907-6-4,"Waterbury, Connecticut, USA"
19,Anna Magnani,2,1955,1957,2,1908,,536167,,1908-3-7,"Rome, Lazio, Italy"
42,Bette Davis,11,1934,1962,28,1908,,12,,1908-4-5,"Lowell, Massachusetts, USA"
56,Carole Lombard,1,1936,1936,0,1908,,1479,,1908-10-6,"Fort Wayne, Indiana, USA"
68,Celia Johnson,1,1946,1946,0,1908,,424743,,1908-12-18,"Ellerker Gate, Richmond, Surrey, England, UK"
119,Eve Arden,1,1945,1945,0,1908,,781,,1908-4-30,"Mill Valley, California, USA"
17,Ann Sothern,1,1987,1987,0,1909,,815433,,1909-1-22,"Valley City, North Dakota, USA"
185,Jessica Tandy,2,1989,1991,2,1909,,1788,,1909-6-7,"Stoke Newington, London, England, UK"
270,Margaret Sullavan,1,1938,1938,0,1909,,837925,,1909-5-16,"Norfolk, Virginia, USA"
308,Miliza Korjus,1,1938,1938,0,1909,,466295,,1909-8-18,"Warsaw, Poland, Russian Empire [now Warsaw, Mazowieckie, Poland]"
35,Barbara O'Neil,1,1940,1940,0,1910,,641966,,1910-7-17,"St. Louis, Missouri, USA"
74,Claire Trevor,3,1937,1954,17,1910,,872456,,1910-3-8,"New York City, New York, USA"
139,Gloria Stuart,1,1997,1997,0,1910,,1784,,1910-7-4,"Santa Monica, California, USA"
258,Luise Rainer,2,1936,1937,1,1910,,707023,,1910-1-12,"Düsseldorf, Germany"
332,Paulette Goddard,1,1943,1943,0,1910,,2104,,1910-6-3,"Whitestone Landing, Long Island, New York, USA"
388,Sylvia Sidney,1,1973,1973,0,1910,,796662,,1910-8-8,"The Bronx, New York City, New York, USA"
110,Ellen Corby,1,1948,1948,0,1911,,179289,,1911-6-3,"Racine, Wisconsin, USA"
133,Ginger Rogers,1,1940,1940,0,1911,,1677,,1911-7-16,"Independence, Missouri, USA"
302,Merle Oberon,1,1935,1935,0,1911,,643353,,1911-2-19,"Bombay, Bombay Presidency, British India [now Mumbai, Maharashtra, India]"
356,Ruth Hussey,1,1940,1940,0,1911,,404046,,1911-10-30,"Providence, Rhode Island, USA"
285,Martha Scott,1,1940,1940,0,1912,,779549,,1912-9-22,"Jamesport, Missouri, USA"
406,Wendy Hiller,3,1938,1966,28,1912,,384908,,1912-8-15,"Bramhall, Cheshire, England, UK"
131,Geraldine Fitzgerald,1,1939,1939,0,1913,,280242,,1913-11-24,"Greystones, County Wicklow, Ireland"
252,Loretta Young,2,1947,1949,2,1913,,949835,,1913-1-6,"Salt Lake City, Utah, USA"
404,Vivien Leigh,2,1939,1951,12,1913,,46,,1913-11-5,"Darjeeling, Bengal Presidency, British India [now West Bengal, India]"
10,Andrea Leeds,1,1937,1937,0,1914,,498571,,1914-8-14,"Butte, Montana, USA"
39,Beatrice Straight,1,1976,1976,0,1914,,833152,,1914-8-2,"Old Westbury, New York, USA"
187,Jo Van Fleet,1,1955,1955,0,1914,,886888,,1915-12-29,"Oakland, California, USA"
201,Juanita Moore,1,1959,1959,0,1914,,601428,,1914-10-19,"Greenwood, Mississippi, USA"
226,Kay Medford,1,1968,1968,0,1914,,575552,,1919-9-14,"New York City, New York, USA"
162,Ingrid Bergman,7,1943,1978,35,1915,,6,,1915-8-29,"Stockholm, Sweden"
98,Dorothy McGuire,1,1947,1947,0,1916,,570192,,1916-6-14,"Omaha, Nebraska, USA"
300,Mercedes McCambridge,2,1949,1956,7,1916,,564790,,1916-3-16,"Joliet, Illinois, USA"
324,Olivia de Havilland,5,1939,1949,10,1916,,14,,1916-7-1,"Tokyo, Japan"
67,Celeste Holm,3,1947,1950,3,1917,,2141,,1917-4-29,"Brooklyn, New York City, New York, USA"
169,Jane Wyman,4,1946,1954,8,1917,,943837,,1917-1-5,"St. Joseph, Missouri, USA"
192,Joan Fontaine,3,1940,1943,3,1917,,21,,1917-10-22,"Tokyo, Japan"
381,Susan Hayward,5,1947,1958,11,1917,,1333,,1917-6-30,"Brooklyn, New York City, New York, USA"
26,Anne Shirley,1,1937,1937,0,1918,,794297,,1918-4-17,"New York City, New York, USA"
200,Joyce Redman,2,1963,1965,2,1918,,715010,,1915-12-7,"Gosforth, Newcastle-upon-Tyne, England, UK"
243,Lila Kedrova,1,1964,1964,0,1918,,444321,,1918-10-9,"Petrograd, Russia [now St. Petersburg, Russia]"
391,Teresa Wright,3,1941,1942,1,1918,,942863,,1918-10-27,"Manhattan, New York City, New York, USA"
102,Eileen Heckart,2,1956,1972,16,1919,,373012,,1919-3-29,"Columbus, Ohio, USA"
182,Jennifer Jones,5,1943,1955,12,1919,,428354,,1919-3-2,"Tulsa, Oklahoma, USA"
