,Nominee,Nominations,First,Last,Last - First,born,No
204,John Garfield,2,1938,1947,9,1913,
339,Robert Strauss,1,1953,1953,0,1913,
394,Trevor Howard,1,1960,1960,0,1913,
12,Alec Guinness,4,1952,1988,36,1914,
24,Arthur Kennedy,5,1949,1958,9,1914,
145,Harold Russell,1,1946,1946,0,1914,
209,John Ireland,1,1949,1949,0,1914,
228,Kevin McCarthy,1,1951,1951,0,1914,
232,Larry Parks,1,1946,1946,0,1914,
322,Richard Widmark,1,1947,1947,0,1914,
20,Anthony Quinn,4,1952,1964,12,1915,
74,Dan Dailey,1,1948,1948,0,1915,
100,Edmond O'Brien,2,1954,1964,10,1915,
115,Frank Sinatra,2,1953,1955,2,1915,
198,Joe Mantell,1,1955,1955,0,1915,
287,Orson Welles,1,1941,1941,0,1915,
141,Gregory Peck,5,1945,1962,17,1916,
171,Jackie Gleason,1,1961,1961,0,1916,
230,Kirk Douglas,3,1949,1956,7,1916,
298,Peter Finch,2,1971,1976,5,1916,
108,Ernest Borgnine,1,1955,1955,0,1917,
331,Robert Mitchum,1,1945,1945,0,1917,
22,Art Carney,1,1974,1974,0,1918,
28,Ben Johnson,1,1971,1971,0,1918,
194,Jeff Chandler,1,1950,1950,0,1918,
203,John Dall,1,1945,1945,0,1918,
334,Robert Preston,1,1982,1982,0,1918,
414,William Holden,3,1950,1976,26,1918,
75,Dan O'Herlihy,1,1954,1954,0,1919,
166,Jack Palance,3,1952,1991,39,1919,
255,Martin Balsam,1,1965,1965,0,1919,
311,Red Buttons,1,1957,1957,0,1919,
321,Richard Todd,1,1949,1949,0,1919,
338,Robert Stack,1,1956,1956,0,1919,
167,Jack Warden,2,1975,1978,3,1920,
274,Mickey Rooney,4,1939,1979,40,1920,
277,Montgomery Clift,4,1948,1961,13,1920,
318,Richard Farnsworth,2,1978,1999,21,1920,
398,Vincent Gardenia,2,1973,1987,14,1920,
403,Walter Matthau,3,1966,1975,9,1920,
419,Yul Brynner,1,1956,1956,0,1920,
186,James Whitmore,2,1949,1975,26,1921,
303,Peter Ustinov,3,1951,1964,13,1921,
84,Denholm Elliott,1,1986,1986,0,1922,
162,Jack Kruschen,1,1960,1960,0,1922,
169,Jackie Cooper,1,1930,1930,0,1922,
190,Jason Robards,3,1976,1980,4,1922,
289,Oskar Werner,1,1965,1965,0,1922,
294,Paul Scofield,2,1966,1994,28,1922,
373,Telly Savalas,1,1962,1962,0,1922,
55,Charles Durning,2,1982,1983,1,1923,
57,Charlton Heston,1,1959,1959,0,1923,
67,Cliff Robertson,1,1968,1968,0,1923,
87,Dexter Gordon,1,1986,1986,0,1923,
273,Michael V. Gazzo,1,1974,1974,0,1923,
238,Lee Marvin,1,1965,1965,0,1924,
252,Marcello Mastroianni,3,1962,1987,25,1924,
254,Marlon Brando,8,1951,1989,38,1924,
346,Ron Moody,1,1968,1968,0,1924,
376,Theodore Bikel,1,1958,1958,0,1924,
133,George Kennedy,1,1967,1967,0,1925,
163,Jack Lemmon,8,1955,1982,27,1925,
293,Paul Newman,9,1958,2002,44,1925,
302,Peter Sellers,2,1964,1979,15,1925,
314,Richard Burton,7,1952,1977,25,1925,
343,Rock Hudson,1,1956,1956,0,1925,
344,Rod Steiger,3,1954,1967,13,1925,
392,Tony Curtis,1,1958,1958,0,1925,
113,Frank Finlay,1,1965,1965,0,1926,
320,Richard Jaeckel,1,1971,1971,0,1926,
130,George C. Scott,4,1959,1971,12,1927,
297,Peter Falk,2,1960,1961,1,1927,
337,Robert Shaw,1,1966,1966,0,1927,
349,Rupert Crosse,1,1969,1969,0,1927,
363,Sidney Poitier,2,1958,1963,5,1927,
413,William Hickey,1,1985,1985,0,1927,
16,Anthony Franciosa,1,1957,1957,0,1928,
156,Ian Bannen,1,1965,1965,0,1928,
175,James Coburn,1,1998,1998,0,1928,
181,James Garner,1,1985,1985,0,1928,
234,Laurence Harvey,1,1959,1959,0,1928,
256,Martin Landau,3,1988,1994,6,1928,
370,Stuart Whitman,1,1961,1961,0,1928,
91,Don Murray,1,1956,1956,0,1929,
202,John Cassavetes,1,1967,1967,0,1929,
284,Nigel Hawthorne,1,1994,1994,0,1929,
21,Armin Mueller-Stahl,1,1996,1996,0,1930,
69,Clint Eastwood,2,1992,2004,12,1930,
122,Gene Hackman,5,1967,1992,25,1930,
176,James Coco,1,1981,1981,0,1930,
262,Maximilian Schell,3,1961,1977,16,1930,
319,Richard Harris,2,1963,1990,27,1930,
330,Robert Loggia,1,1985,1985,0,1930,
359,Sean Connery,1,1987,1987,0,1930,
368,Steve McQueen,1,1966,1966,0,1930,
157,Ian Holm,1,1981,1981,0,1931,
178,James Dean,2,1955,1956,1,1931,
180,James Earl Jones,1,1970,1970,0,1931,
281,Nick Adams,1,1963,1963,0,1931,
323,Rip Torn,1,1983,1983,0,1931,
328,Robert Duvall,6,1972,1998,26,1931,
18,Anthony Perkins,1,1956,1956,0,1932,
200,Joel Grey,1,1972,1972,0,1932,
285,Noriyuki 'Pat' Morita,1,1984,1984,0,1932,
286,Omar Sharif,1,1962,1962,0,1932,
301,Peter O'Toole,8,1962,2006,44,1932,
340,Robert Vaughn,1,1959,1959,0,1932,
348,Roy Scheider,2,1971,1979,8,1932,
0,Adolph Caesar,1,1984,1984,0,1933,
77,Daniel Massey,1,1968,1968,0,1933,
78,Danny Aiello,1,1989,1989,0,1933,
125,Gene Wilder,1,1968,1968,0,1933,
251,Mako,1,1966,1966,0,1933,
264,Michael Caine,6,1966,2002,36,1933,
315,Richard Castellano,1,1970,1970,0,1933,
6,Alan Arkin,3,1966,2006,40,1934,
7,Alan Bates,1,1968,1968,0,1934,
131,George Chakiris,1,1961,1961,0,1934,
135,George Segal,1,1966,1966,0,1934,
268,Michael Dunn,1,1965,1965,0,1934,
350,Russ Tamblyn,1,1957,1957,0,1934,
93,Dudley Moore,1,1981,1981,0,1935,
220,Judd Hirsch,1,1980,1980,0,1935,
362,Seymour Cassel,1,1968,1968,0,1935,
393,Topol,1,1971,1971,0,1935,
417,Woody Allen,1,1977,1977,0,1935,
5,Alan Alda,1,2004,2004,0,1936,
10,Albert Finney,5,1963,2000,37,1936,
35,Bobby Darin,1,1963,1963,0,1936,
43,Bruce Dern,1,1978,1978,0,1936,
47,Burt Reynolds,1,1997,1997,0,1936,
83,Dean Stockwell,1,1988,1988,0,1936,
85,Dennis Hopper,1,1986,1986,0,1936,
117,Frederic Forrest,1,1979,1979,0,1936,
335,Robert Redford,1,1973,1973,0,1936,
17,Anthony Hopkins,4,1991,1997,6,1937,
94,Dustin Hoffman,7,1967,1997,30,1937,
164,Jack Nicholson,12,1969,2002,33,1937,
279,Morgan Freeman,4,1987,2004,17,1937,
280,Ned Beatty,1,1976,1976,0,1937,
385,Tom Courtenay,2,1965,1983,18,1937,
406,Warren Beatty,4,1967,1991,24,1937,
104,Elliott Gould,1,1969,1969,0,1938,
