,Nominee,Nominations,First,Last,Last - First,born,No
94,Donna Reed,1,1953,1953,0,1921,
165,Jan Sterling,1,1954,1954,0,1921,
206,Judy Holliday,1,1950,1950,0,1921,
233,Lana Turner,1,1957,1957,0,1921,
315,Nancy Kelly,1,1956,1956,0,1921,
374,Simone Signoret,2,1959,1965,6,1921,
383,Susan Peters,1,1942,1942,0,1921,
30,Ava Gardner,1,1953,1953,0,1922,
32,Barbara Bel Geddes,1,1948,1948,0,1922,
96,Dorothy Dandridge,1,1954,1954,0,1922,
103,Eleanor Parker,3,1950,1955,5,1922,
145,Grayson Hall,1,1964,1964,0,1922,
205,Judy Garland,2,1954,1961,7,1922,
230,Kim Hunter,1,1951,1951,0,1922,
268,Margaret Leighton,1,1971,1971,0,1922,
23,Anne Baxter,2,1946,1950,4,1923,
41,Betsy Blair,1,1955,1955,0,1923,
47,Bonita Granville,1,1936,1936,0,1923,
138,Gloria Grahame,2,1947,1952,5,1923,
141,Glynis Johns,1,1960,1960,0,1923,
175,Jean Hagen,1,1952,1952,0,1923,
400,Valentina Cortese,1,1974,1974,0,1923,
95,Doris Day,1,1959,1959,0,1924,
118,Eva Marie Saint,1,1954,1954,0,1924,
132,Geraldine Page,8,1953,1985,32,1924,
197,Jocelyne Lagarde,1,1966,1966,0,1924,
225,Katy Jurado,1,1954,1954,0,1924,
236,Lauren Bacall,1,1996,1996,0,1924,
284,Martha Hyer,1,1958,1958,0,1924,
335,Peggy Cass,1,1958,1958,0,1924,
12,Angela Lansbury,3,1944,1962,18,1925,
53,Cara Williams,1,1958,1958,0,1925,
77,Colette Marchand,1,1952,1952,0,1925,
97,Dorothy Malone,1,1956,1956,0,1925,
177,Jeanne Crain,1,1949,1949,0,1925,
211,Julie Harris,1,1952,1952,0,1925,
231,Kim Stanley,2,1964,1982,18,1925,
237,Lee Grant,4,1951,1976,25,1925,
294,Maureen Stapleton,4,1958,1981,23,1925,
76,Cloris Leachman,1,1971,1971,0,1926,
194,Joan Lorring,1,1945,1945,0,1926,
329,Patricia Neal,2,1963,1968,5,1926,
114,Estelle Parsons,2,1967,1968,1,1927,
171,Janet Leigh,1,1960,1960,0,1927,
344,Rachel Roberts,1,1963,1963,0,1927,
352,Rosemary Harris,1,1994,1994,0,1927,
15,Ann Blyth,1,1945,1945,0,1928,
316,Nancy Olson,1,1950,1950,0,1928,
24,Anne Ramsey,1,1987,1987,0,1929,
29,Audrey Hepburn,5,1953,1967,14,1929,
123,Fernanda Montenegro,1,1998,1998,0,1929,
143,Grace Kelly,2,1953,1954,1,1929,
176,Jean Simmons,2,1948,1969,21,1929,
195,Joan Plowright,1,1992,1992,0,1929,
263,Maggie McNamara,1,1953,1953,0,1929,
313,Miyoshi Umeki,1,1957,1957,0,1929,
393,Terry Moore,1,1952,1952,0,1929,
405,Vivien Merchant,1,1966,1966,0,1929,
57,Carolyn Jones,1,1957,1957,0,1930,
128,Gena Rowlands,2,1974,1980,6,1930,
196,Joanne Woodward,4,1957,1990,33,1930,
22,Anne Bancroft,5,1962,1985,23,1931,
31,Barbara Barrie,1,1979,1979,0,1931,
59,Carroll Baker,1,1956,1956,0,1931,
159,Hope Lange,1,1957,1957,0,1931,
242,Leslie Caron,2,1953,1963,10,1931,
321,Nina Foch,1,1954,1954,0,1931,
325,Olympia Dukakis,1,1987,1987,0,1931,
349,Rita Moreno,1,1961,1961,0,1931,
28,Anouk Aimee,1,1966,1966,0,1932,
81,Debbie Reynolds,1,1964,1964,0,1932,
90,Diane Ladd,3,1974,1991,17,1932,
101,Eileen Brennan,1,1980,1980,0,1932,
108,Elizabeth Taylor,5,1957,1966,9,1932,
109,Ellen Burstyn,6,1971,2000,29,1932,
277,Marisa Pavan,1,1955,1955,0,1932,
340,Piper Laurie,3,1961,1986,25,1932,
387,Sylvia Miles,2,1969,1975,6,1932,
73,Cicely Tyson,1,1972,1972,0,1933,
88,Diane Cilento,1,1963,1963,0,1933,
293,Mary Ure,1,1960,1960,0,1933,
193,Joan Hackett,1,1981,1981,0,1934,
202,Judi Dench,6,1997,2006,9,1934,
256,Louise Fletcher,1,1975,1975,0,1934,
264,Maggie Smith,6,1965,2001,36,1934,
369,Shirley Jones,1,1960,1960,0,1934,
371,Shirley MacLaine,5,1958,1983,25,1934,
377,Sophia Loren,2,1961,1964,3,1934,
33,Barbara Harris,1,1971,1971,0,1935,
84,Diahann Carroll,1,1974,1974,0,1935,
209,Julie Andrews,3,1964,1982,18,1935,
238,Lee Remick,1,1962,1962,0,1935,
136,Glenda Jackson,4,1970,1975,5,1936,
292,Mary Tyler Moore,1,1980,1980,0,1936,
322,Norma Aleandro,1,1987,1987,0,1936,
370,Shirley Knight,2,1960,1962,2,1936,
382,Susan Kohner,1,1959,1959,0,1936,
99,Dyan Cannon,2,1969,1978,9,1937,
168,Jane Fonda,7,1969,1986,17,1937,
358,Sally Kellerman,1,1970,1970,0,1937,
363,Sandy Dennis,1,1966,1966,0,1937,
402,Vanessa Redgrave,6,1966,1992,26,1937,
92,Diane Varsi,1,1957,1957,0,1938,
250,Liv Ullmann,2,1972,1976,4,1938,
259,Lynn Carlin,1,1968,1968,0,1938,
319,Natalie Wood,3,1955,1963,8,1938,
4,Ali MacGraw,1,1970,1970,0,1939,
50,Brenda Vaccaro,1,1975,1975,0,1939,
166,Jane Alexander,4,1970,1983,13,1939,
173,Janet Suzman,1,1971,1971,0,1939,
215,Karen Black,1,1970,1970,0,1939,
246,Lily Tomlin,1,1975,1975,0,1939,
299,Melinda Dillon,2,1977,1981,4,1939,
361,Samantha Eggar,1,1965,1965,0,1939,
386,Susannah York,1,1969,1969,0,1939,
220,Katharine Ross,1,1967,1967,0,1940,
333,Pauline Collins,1,1989,1989,0,1940,
18,Ann-Margret,2,1971,1975,4,1941,
121,Faye Dunaway,3,1967,1976,9,1941,
210,Julie Christie,3,1965,1997,32,1941,
359,Sally Kirkland,1,1987,1987,0,1941,
365,Sarah Miles,1,1970,1970,0,1941,
37,Barbra Streisand,2,1968,1973,5,1942,
130,Genevieve Bujold,1,1969,1969,0,1942,
